Daily_Screen_Time_Hours,Social_Media_Hours,Gaming_Hours,Productivity_Hours,Number_of_App_Opens,Notifications_Received,Night_Usage_Times,Age,Number_of_Apps_Installed,Weekly_Avg_Usage_Hours,Addiction_Level
5.9,1.5,1.3,2.7,110,87,9,26,46,12.2,Medium
14.3,4.3,1.2,3.2,25,99,9,64,62,72.3,Medium
11.1,7.0,4.5,1.0,68,185,19,31,86,50.5,High
9.2,5.9,1.2,2.5,169,30,1,61,34,89.5,Medium
2.8,6.5,1.4,2.3,31,63,2,36,29,92.1,Low
2.8,5.3,3.8,3.3,59,193,7,14,67,6.5,Medium
1.3,5.5,2.2,3.6,33,231,10,57,23,82.2,Low
13.1,6.8,3.9,0.0,152,188,12,35,76,4.7,High
9.2,2.0,0.3,2.7,29,285,6,45,96,37.3,Medium
10.8,3.9,2.4,0.2,74,121,12,57,12,54.7,Medium
0.8,1.8,0.2,2.2,67,233,1,33,99,15.7,Low
14.6,7.9,0.3,1.2,168,223,5,22,7,74.9,High
12.6,7.6,4.5,1.2,134,68,8,59,71,1.8,High
3.6,0.3,0.7,1.4,154,118,19,19,90,17.7,Medium
3.1,5.6,2.7,2.5,20,166,1,50,85,58.5,Low
3.2,7.4,2.1,1.3,150,200,17,54,21,71.7,Medium
4.9,1.4,1.7,2.9,186,209,15,46,18,91.7,Medium
8.1,4.5,4.5,1.6,104,205,11,60,13,70.8,Medium
6.8,7.3,0.1,0.3,34,44,6,57,66,67.5,Low
4.7,0.3,3.3,3.1,49,255,6,49,98,40.0,Low
9.4,5.6,4.8,1.1,23,246,16,19,25,1.1,High
2.5,2.4,2.8,1.7,38,113,12,48,80,12.9,Low
4.7,7.4,4.7,2.7,145,16,10,38,41,53.9,Medium
5.8,7.8,0.3,1.3,175,292,5,39,15,67.8,Medium
7.1,7.6,2.1,0.2,66,10,13,51,24,42.3,Medium
11.9,3.8,1.3,1.5,122,228,5,45,39,73.3,Medium
3.4,6.9,3.7,3.8,104,239,5,43,57,52.7,Medium
8.0,6.8,4.9,2.6,26,181,1,26,51,8.3,Medium
9.1,2.6,1.3,2.7,184,96,19,55,79,20.0,Medium
1.2,6.6,3.3,2.5,184,50,14,28,56,84.2,Medium
9.3,0.3,1.0,0.8,115,132,16,44,12,72.8,Medium
3.0,4.8,2.8,1.7,168,187,7,58,8,89.6,Medium
1.4,1.8,2.3,3.0,77,72,4,57,31,12.6,Low
14.3,1.0,4.9,0.4,151,174,16,63,48,99.0,High
14.5,0.6,3.0,1.1,42,196,19,27,44,21.7,High
12.2,5.6,1.7,1.1,74,218,0,40,51,2.2,Medium
4.9,2.7,0.6,1.7,120,236,17,20,98,99.7,Medium
1.9,5.8,0.8,3.9,83,57,14,44,48,28.8,Low
10.4,0.5,1.1,0.3,189,233,4,60,52,67.1,Medium
6.9,2.5,1.3,2.1,152,12,6,40,95,18.5,Low
2.3,4.3,4.3,0.7,13,184,17,24,89,58.4,Medium
7.7,6.3,2.8,3.9,36,108,5,32,56,90.5,Medium
1.0,2.6,2.6,0.5,136,125,4,32,88,32.7,Low
13.7,5.0,0.6,1.6,54,279,18,16,72,67.4,High
4.3,7.1,4.3,3.0,86,262,9,21,15,19.6,Medium
10.1,4.9,3.6,2.8,9,104,14,17,81,62.9,Medium
5.0,1.9,0.3,1.7,152,282,9,62,77,34.3,Medium
8.0,0.2,3.5,1.4,91,33,15,24,8,21.9,Medium
8.4,7.0,2.7,1.6,130,125,11,12,80,32.0,High
3.2,0.2,0.4,1.1,79,160,17,31,77,18.7,Medium
14.6,7.0,2.3,0.8,169,59,0,58,81,90.3,Medium
11.7,4.2,2.4,1.9,26,215,15,57,52,40.3,Medium
14.1,7.5,0.8,1.1,190,88,5,19,30,25.3,High
13.5,6.4,4.7,1.1,72,79,2,21,81,45.4,Medium
9.2,8.0,4.2,2.6,48,36,1,20,43,32.7,Medium
13.9,2.8,3.3,3.9,38,280,1,60,96,74.7,Medium
1.8,6.1,2.3,2.4,81,59,12,52,62,97.2,Low
3.3,3.2,2.1,0.3,46,256,8,14,23,44.4,Medium
1.2,3.8,3.3,0.3,141,273,15,22,92,86.2,Medium
5.2,5.0,2.7,3.8,110,88,4,23,87,57.0,Medium
6.1,7.0,0.3,1.2,99,199,6,21,81,16.6,Medium
4.4,7.9,2.6,0.4,139,56,12,36,81,69.4,Medium
12.5,6.1,4.0,2.4,72,198,19,60,62,51.8,High
5.7,3.3,2.3,2.5,151,265,12,60,32,65.4,Medium
4.6,3.4,0.3,2.6,163,231,6,36,70,89.1,Medium
8.4,5.9,3.9,1.1,132,250,9,22,14,44.6,High
2.5,1.9,1.0,0.1,167,278,14,47,90,90.2,Medium
12.1,0.9,1.3,3.9,189,10,5,50,81,75.3,Medium
1.6,2.8,0.8,1.0,89,43,4,64,62,49.4,Low
14.8,2.3,1.7,2.7,193,88,1,37,77,60.7,Medium
11.7,2.4,3.8,2.8,163,245,14,25,18,33.2,High
3.4,1.9,2.6,2.4,87,107,15,50,88,98.4,Low
0.6,0.3,1.0,1.3,99,91,18,51,19,67.1,Low
12.3,0.1,4.4,1.1,185,201,8,12,37,5.3,High
10.7,7.9,4.4,2.4,36,262,18,15,21,33.3,High
11.1,3.4,4.4,3.5,70,47,6,41,28,62.7,Medium
11.7,3.1,1.2,3.8,191,23,3,23,34,6.6,Medium
1.6,5.4,2.3,0.4,120,218,2,46,66,3.4,Low
5.7,1.7,4.9,0.6,142,98,19,24,17,45.6,Medium
2.2,7.6,3.9,3.8,134,65,10,63,66,33.9,Low
13.0,6.3,0.1,2.9,198,103,0,42,51,44.4,Medium
9.5,0.7,0.3,3.5,64,102,5,49,20,27.0,Low
5.3,3.3,2.3,0.8,21,94,10,54,70,17.3,Low
1.4,7.0,4.5,2.4,100,254,0,34,85,69.2,Low
5.0,7.6,2.7,2.8,148,31,6,15,47,51.9,Medium
5.2,3.7,2.5,2.7,20,281,5,63,12,20.8,Low
11.1,4.9,0.5,1.6,50,131,13,27,7,32.6,Medium
9.7,1.3,3.3,0.1,171,137,1,18,16,59.6,Medium
13.4,7.9,4.1,2.3,163,122,3,33,88,8.2,High
7.3,1.9,1.9,1.0,111,282,10,40,20,15.6,Medium
2.2,7.5,3.9,1.8,92,139,14,22,82,8.3,Medium
10.8,5.2,4.8,3.8,133,141,17,44,84,81.4,High
11.5,4.9,1.0,1.6,143,94,0,40,63,75.5,Medium
8.6,4.1,2.6,3.4,123,90,2,50,53,75.6,Low
11.7,1.8,1.4,0.8,89,78,2,23,67,71.9,Medium
7.7,1.4,4.0,2.7,8,157,6,18,66,67.3,Medium
8.1,1.8,2.9,3.9,75,25,0,50,53,48.2,Low
6.7,1.5,3.2,0.4,158,114,10,53,55,64.6,Medium
0.9,6.2,4.0,0.0,115,174,5,59,37,4.8,Medium
2.1,2.8,2.0,1.7,54,210,19,37,34,62.5,Medium
1.0,0.5,4.6,0.4,144,206,2,51,63,78.0,Low
9.7,7.8,2.7,3.0,99,194,18,20,80,50.5,High
5.1,7.1,0.8,3.7,96,274,1,52,19,36.4,Low
7.9,7.4,3.5,1.7,69,109,17,45,86,28.5,Medium
13.7,8.0,4.0,1.0,51,223,11,56,96,64.6,High
4.1,1.4,1.6,1.7,185,287,9,24,27,69.6,Medium
6.5,3.2,4.3,2.9,110,171,4,47,82,87.2,Medium
11.5,6.1,4.5,0.0,134,166,8,36,98,34.9,High
3.8,5.6,1.4,2.4,110,260,1,35,49,77.2,Low
1.6,1.2,4.9,2.5,28,106,1,55,66,56.6,Low
4.7,6.5,0.7,2.6,8,27,5,28,83,88.4,Low
2.8,1.8,1.0,1.0,112,106,9,13,75,53.3,Medium
14.0,1.8,0.9,2.9,23,10,17,24,19,52.2,Medium
12.2,4.3,4.5,0.4,158,225,11,42,50,58.2,High
9.7,4.7,3.3,0.8,44,141,3,40,68,75.2,Medium
13.1,4.6,0.8,3.5,54,269,16,61,50,96.5,Medium
12.2,0.7,2.2,3.0,175,134,14,39,60,8.3,Medium
3.2,7.0,3.1,0.1,79,91,5,38,48,6.3,Medium
13.4,2.1,0.4,1.0,199,292,15,26,79,93.8,High
8.3,1.0,4.4,0.9,16,180,16,42,33,53.5,Medium
12.2,7.1,4.0,1.1,199,68,2,51,99,61.9,Medium
13.5,7.6,2.5,1.0,31,41,9,26,66,48.8,High
5.1,6.9,4.8,0.3,117,170,4,44,93,10.3,Medium
2.1,6.5,2.1,1.8,186,293,13,31,56,77.0,Medium
3.8,5.2,4.9,2.9,198,115,12,53,58,75.0,Medium
6.7,4.4,3.3,2.4,53,114,5,23,92,31.9,Medium
12.4,0.7,3.2,2.7,148,237,11,48,61,31.3,Medium
13.0,3.3,0.8,0.3,134,197,7,20,87,83.9,High
0.6,3.0,4.4,3.8,64,79,4,34,70,8.2,Low
7.9,2.1,2.1,3.4,186,299,14,19,26,88.2,High
6.6,5.8,0.8,3.2,34,96,15,43,24,26.4,Medium
3.7,4.0,0.1,3.3,88,65,0,59,37,59.7,Low
2.2,0.6,2.8,3.7,170,122,15,25,76,93.7,Medium
5.4,1.8,2.6,2.2,32,22,4,38,29,68.1,Low
14.2,5.5,3.6,0.8,29,27,2,36,50,42.0,Medium
5.2,0.6,4.5,2.5,100,191,19,24,77,69.3,Medium
8.0,6.8,0.4,3.0,129,122,14,32,61,35.1,Medium
10.7,4.0,3.7,3.0,14,238,12,56,91,28.4,Medium
5.8,3.8,0.9,2.1,192,180,15,42,9,99.7,Medium
14.6,4.7,4.3,0.3,46,198,10,48,59,75.3,High
14.5,6.6,4.1,1.5,44,88,1,59,65,64.8,Medium
4.2,2.8,2.7,3.7,81,155,5,54,93,36.2,Low
